p,m,kind,θ,λ_min,λ_max,κ
2,2,Dirichlet,0.0,0.9999999999998268,2.7000272676727954,2.700027267673263
2,2,Dirichlet,-0.0625,0.9999999999998268,2.7000272676727954,2.700027267673263
3,2,Dirichlet,-0.0625,0.9999999999992926,3.567928437112254,3.5679284371147784
3,2,Dirichlet,0.0,0.9999999999992926,3.567928437112254,3.5679284371147784
4,2,Dirichlet,-0.0625,0.9999999999988743,4.305060011561867,4.305060011566713
4,2,Dirichlet,0.0,0.9999999999988743,4.305060011561867,4.305060011566713
8,2,Dirichlet,-0.0625,0.9999999999952132,6.510880021845141,6.510880021876307
8,2,Dirichlet,0.0,0.9999999999952132,6.510880021845141,6.510880021876307
16,2,Dirichlet,-0.0625,0.9999999999808564,9.353764059470207,9.35376405964927
16,2,Dirichlet,0.0,0.9999999999808564,9.353764059470207,9.35376405964927
32,2,Dirichlet,0.0,0.9999999998855446,12.85606582669229,12.856065828163738
32,2,Dirichlet,-0.0625,0.9999999998855446,12.85606582669229,12.856065828163738
